年,月,旅客人數,列車次數,座位公里,準點率,延人公里
96,1,1161047,1034,318681191,0.9961,252905393
96,2,724784,1064,330495752,0.9981,163397100
96,3,919455,1190,378951174,0.9992,211535284
96,4,1076413,1500,484511100,0.9993,251318735
96,5,1155098,1550,500661470,0.9994,266817258
96,6,1241227,1860,584558340,0.9903,287557049
96,7,1425755,1982,622498358,0.9939,327989649
96,8,1373686,2240,718463006,0.9964,313322354
96,9,1367236,2509,789725401,0.9996,313785859
96,10,1448553,2754,890674609,0.98,325843898
96,11,1659506,3214,1055026833,0.9928,368249058
96,12,2002896,3503,1164424068,0.9989,437451789
97,1,1958004,3589,1187956874,0.9975,427087575
97,2,2095210,3516,1158237240,0.9886,464631472
97,3,2311821,3712,1222643218,0.9933,499869206
97,4,2545527,3590,1182751721,0.9978,549950673
97,5,2603395,3715,1223669276,0.9962,560909249
97,6,2537620,3603,1186620238,0.9953,544917884
97,7,2811997,3918,1286050842,0.9798,605923969
97,8,2973150,4123,1351660360,0.9903,630249077
97,9,2488574,3808,1249040627,0.985,529600881
97,10,2855980,4144,1357996966,0.993,606826369
97,11,2741710,3994,1309400608,0.9892,583940627
97,12,2658273,4188,1373471038,0.9971,562212593
98,1,2786684,4524,1486215471,0.9874,610598477
98,2,2396835,3794,1244342942,0.9958,508782980
98,3,2648005,3870,1266766485,0.9879,562792461
98,4,2582952,3476,1135586273,0.9997,548602664
98,5,2752003,3743,1224151773,1,589171415
98,6,2436486,3476,1135586273,0.9922,512670295
98,7,2957323,3818,1249317942,0.9992,631751940
98,8,2716287,3471,1132766004,0.9741,584485046
98,9,2440872,3684,1205380446,0.9981,510246925
98,10,2839086,3852,1260707194,0.9914,594853665
98,11,2814651,3695,1209387622,0.9911,590607416
98,12,2978076,3883,1271444759,0.9938,619396924
99,1,2870737,3948,1293097370,0.9959,599486089
99,2,3047303,3857,1266153621,1,657353585
99,3,2938307,3780,1217024871,0.9661,602431747
99,4,3090380,3842,1258200282,0.9977,634098443
99,5,3212410,3938,1289583811,0.9985,641117323
99,6,2983161,3764,1232046879,0.9973,605285984
99,7,3160655,4000,1301868803,0.988,641533373
99,8,3188488,4018,1304517152,0.991,644414534
99,9,2865777,3767,1221675394,0.9923,570657082
99,10,3114371,4081,1326386065,0.9944,618194641
99,11,3114886,3915,1271001083,0.9854,616960244
99,12,3353121,4050,1314564208,0.9985,659486545
100,1,3154725,4102,1333077631,0.9998,631384481
100,2,3439685,3977,1296341952,0.9975,709820492
100,3,3258311,4031,1308543739,0.9988,639937020
100,4,3476554,4012,1304772277,0.9993,688708795
100,5,3318438,4076,1324175879,0.9993,648854206
100,6,3380395,3975,1291488978,0.998,664488796
100,7,3691078,4135,1344505705,0.9995,725502888
100,8,3500945,4083,1325992282,0.9978,680753745
100,9,3474884,4007,1302226543,0.9993,672042695
100,10,3702168,4152,1350545586,0.9983,715457555
100,11,3540421,3906,1268158623,0.998,675667743
100,12,3691699,4097,1331222407,0.9983,695251077
101,1,3940570,4524,1476809031,0.9998,797431915
101,2,3401837,3905,1270288384,0.9813,665974276
101,3,3612732,4068,1321491489,0.9958,697872589
101,4,3569495,3946,1282448569,0.9975,691549549
101,5,3577726,4071,1321294598,0.998,692332025
101,6,3482425,3943,1281106374,0.9939,670337523
101,7,3902874,4105,1334794199,0.999,764327992
101,8,3730155,4055,1318194233,0.9633,723214278
101,9,3696134,3969,1291073004,1,711329034
101,10,3826495,4037,1311799393,0.9988,732481959
101,11,3762009,3923,1274572875,0.9995,721096385
101,12,4023302,4136,1345196215,1,773625732
102,1,3647415,4072,1323721085,0.9975,699108016
102,2,3956747,4032,1312667381,0.999,776516253
102,3,4245483,4141,1335515239,0.9925,789594215
102,4,3913418,4012,1304178823,0.998,757045334
102,5,3904892,4077,1324688909,0.9995,747230935
102,6,3890726,3931,1278480215,0.9802,749371515
102,7,4052344,4085,1327589602,0.9853,787177796
102,8,4136920,4177,1358598759,0.9907,801175010
102,9,3975780,4099,1333097043,1,771266846
102,10,3886353,4080,1322855876,0.9953,740802796
102,11,3861841,3996,1295340865,0.9915,733845657
102,12,4014940,4157,1341593941,0.9957,764925903
103,1,3799436,4291,1378925855,0.9986,737870685
103,2,3832719,4081,1313055653,0.9956,750356770
103,3,4001023,4252,1362625396,0.9967,763825468
103,4,3984512,4167,1336372157,0.989,768408938
103,5,4029882,4297,1377212068,0.9953,776601117
103,6,3915932,4148,1328418819,0.9969,755887326
103,7,4078266,4174,1332922393,0.9954,788478435
103,8,4139391,4279,1367622588,0.9888,794774346
103,9,3949938,4132,1322880610,0.9998,756007547
103,10,4155844,4269,1367292580,0.9991,796790205
103,11,4018332,4125,1320531754,0.9995,763478829
103,12,4119483,4252,1359635934,0.9988,782682626
104,1,3955998,4263,1367409035,0.9974,759692707
104,2,4140433,4162,1345115620,0.9875,829581946
104,3,4193956,4256,1360090738,0.9998,793788364
104,4,4175062,4202,1350096253,1,806777832
104,5,4213646,4306,1379530482,0.9991,808498901
104,6,4087705,4165,1334663710,0.9995,785888397
104,7,4211651,4242,1355038067,0.9986,808711177
104,8,4194775,4170,1331588322,0.9962,805697635
104,9,4047485,4027,1290626109,0.9861,772490380
104,10,4241446,4304,1380969732,0.9967,800995108
104,11,4170979,4100,1311610542,0.9995,786351423
104,12,4928818,4335,1380209978,0.9986,896486817
