項次,發生日期,事故事件種類,原因別,發生年度,發生月份,員工傷,員工死,旅客傷,旅客死,民眾傷,民眾死,有無死傷
1,096/01/10,C08-車輛故障,01.車門開關功能異常,96,01,,,,,,,
2,096/01/11,C08-車輛故障,01.車門開關功能異常,96,01,,,,,,,
3,096/01/11,C17-其他事件,24.其他外部因素,96,01,,,,,,,
4,096/01/24,C11-運轉保安裝置故障,09.道岔功能或訊號異常,96,01,,,,,,,
5,096/02/05,C08-車輛故障,06.車載號誌功能異常,96,02,,,,,,,
6,096/02/06,B02-側線出軌事故,03.煞車功能或訊號異常,96,02,,,,,,,
7,096/02/14,C11-運轉保安裝置故障,09.道岔功能或訊號異常,96,02,,,,,,,
8,096/03/03,C12-外物入侵,16.空飄物入侵,96,03,,,,,,,
9,096/04/26,C11-運轉保安裝置故障,09.道岔功能或訊號異常,96,04,,,,,,,
10,096/05/29,C11-運轉保安裝置故障,09.道岔功能或訊號異常,96,05,,,,,,,
11,096/05/31,C08-車輛故障,05.車輛異常聲響,96,05,,,,,,,
12,096/06/08,C08-車輛故障,05.車輛異常聲響,96,06,,,,,,,
13,096/06/08,C09-路線障礙,20.邊坡滑動,96,06,,,,,,,
14,096/06/09,C09-路線障礙,20.邊坡滑動,96,06,,,,,,,
15,096/06/12,C11-運轉保安裝置故障,08.號誌系統功能異常,96,06,,,,,,,
16,096/06/14,C08-車輛故障,01.車門開關功能異常,96,06,,,,,,,
17,096/07/07,C11-運轉保安裝置故障,09.道岔功能或訊號異常,96,07,,,,,,,
18,096/07/23,C11-運轉保安裝置故障,09.道岔功能或訊號異常,96,07,,,,,,,
19,096/08/11,C08-車輛故障,03.煞車功能或訊號異常,96,08,,,,,,,
20,096/08/26,C08-車輛故障,03.煞車功能或訊號異常,96,08,,,,,,,
21,096/09/23,C11-運轉保安裝置故障,09.道岔功能或訊號異常,96,09,,,,,,,
22,096/10/19,C08-車輛故障,06.車載號誌功能異常,96,10,,,,,,,
23,096/11/02,C17-其他事件,12.作業人員疏失,96,11,,,,,,,
24,096/11/19,C12-外物入侵,18.其他物品入侵,96,11,,,,,,,
25,096/11/26,C12-外物入侵,18.其他物品入侵,96,11,,,,,,,
26,097/01/23,C17-其他事件,24.其他外部因素,97,01,,,,,,,
27,097/01/26,C08-車輛故障,03.煞車功能或訊號異常,97,01,,,,,,,
28,097/02/22,C11-運轉保安裝置故障,09.道岔功能或訊號異常,97,02,,,,,,,
29,097/02/28,C11-運轉保安裝置故障,09.道岔功能或訊號異常,97,02,,,,,,,
30,097/03/29,C17-其他事件,12.作業人員疏失,97,03,,,,,,,
31,097/04/15,C11-運轉保安裝置故障,09.道岔功能或訊號異常,97,04,,,,,,,
32,097/06/11,A02-正線出軌事故,12.作業人員疏失,97,06,,,,,,,
33,097/06/15,C11-運轉保安裝置故障,09.道岔功能或訊號異常,97,06,,,,,,,
34,097/07/07,C11-運轉保安裝置故障,09.道岔功能或訊號異常,97,07,,,,,,,
35,097/08/24,C08-車輛故障,01.車門開關功能異常,97,08,,,,,,,
36,097/09/28,C15-天然災變,21.颱風或強風,97,09,,,,,,,
37,097/10/31,C15-天然災變,19.地震,97,10,,,,,,,
38,097/11/05,C12-外物入侵,12.作業人員疏失,97,11,,,,,,,
39,097/11/06,A02-正線出軌事故,12.作業人員疏失,97,11,,,,,,,
40,097/11/20,C11-運轉保安裝置故障,09.道岔功能或訊號異常,97,11,,,,,,,
41,097/12/10,C12-外物入侵,14.民眾闖入,97,12,,,,,,,
42,097/12/10,B02-側線出軌事故,12.作業人員疏失,97,12,,,,,,,
43,098/01/11,C11-運轉保安裝置故障,09.道岔功能或訊號異常,98,01,,,,,,,
44,098/01/17,A01-正線衝撞事故,13.作業程序不適當,98,01,,,,,,,
45,098/02/22,C11-運轉保安裝置故障,10.災害告警功能異常,98,02,,,,,,,
46,098/03/06,C11-運轉保安裝置故障,09.道岔功能或訊號異常,98,03,,,,,,,
47,098/06/11,C11-運轉保安裝置故障,09.道岔功能或訊號異常,98,06,,,,,,,
48,098/06/20,C11-運轉保安裝置故障,09.道岔功能或訊號異常,98,06,,,,,,,
49,098/06/21,C11-運轉保安裝置故障,09.道岔功能或訊號異常,98,06,,,,,,,
50,098/07/12,C11-運轉保安裝置故障,09.道岔功能或訊號異常,98,07,,,,,,,
